"Statistic:   Number of Applications"
"Variables:   Provider Name , Age Band , Cycle Year"
"Coverage:   Applications through the main scheme"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR4_006_03.pdf"
 
Cycle Year,Provider Name , Age Band,Number of Applications,
2006 ,"'C65 City and Islington College' ","'20' ",5
2006 ,"'C65 City and Islington College' ","'21 and over' ",40
2006 ,"'C66 The Manchester College (Formerly City College Manchester)' ","'18' ",375
2006 ,"'C66 The Manchester College (Formerly City College Manchester)' ","'19' ",220
2006 ,"'C66 The Manchester College (Formerly City College Manchester)' ","'20' ",150
2006 ,"'C66 The Manchester College (Formerly City College Manchester)' ","'21 and over' ",230
2006 ,"'C69 City of Sunderland College' ","'18' ",45
2006 ,"'C69 City of Sunderland College' ","'19' ",20
2006 ,"'C69 City of Sunderland College' ","'20' ",10
2006 ,"'C69 City of Sunderland College' ","'21 and over' ",25
2006 ,"'C71 Cleveland College of Art and Design' ","'18' ",235
2006 ,"'C71 Cleveland College of Art and Design' ","'19' ",160
2006 ,"'C71 Cleveland College of Art and Design' ","'20' ",45
2006 ,"'C71 Cleveland College of Art and Design' ","'21 and over' ",90
2006 ,"'C72 Cliff College' ","'18' ",15
2006 ,"'C72 Cliff College' ","'20' ",5
2006 ,"'C72 Cliff College' ","'21 and over' ",15
2006 ,"'C75 University Centre Colchester at Colchester Institute' ","'18' ",250
2006 ,"'C75 University Centre Colchester at Colchester Institute' ","'19' ",145
2006 ,"'C75 University Centre Colchester at Colchester Institute' ","'20' ",50
2006 ,"'C75 University Centre Colchester at Colchester Institute' ","'21 and over' ",150
2006 ,"'C78 Cornwall College' ","'17 and under' ",5
2006 ,"'C78 Cornwall College' ","'18' ",265
2006 ,"'C78 Cornwall College' ","'19' ",85
2006 ,"'C78 Cornwall College' ","'20' ",65
2006 ,"'C78 Cornwall College' ","'21 and over' ",195
2006 ,"'C80 Courtauld Institute of Art (University of London)' ","'17 and under' ",5
2006 ,"'C80 Courtauld Institute of Art (University of London)' ","'18' ",135
2006 ,"'C80 Courtauld Institute of Art (University of London)' ","'19' ",65
2006 ,"'C80 Courtauld Institute of Art (University of London)' ","'20' ",20
2006 ,"'C80 Courtauld Institute of Art (University of London)' ","'21 and over' ",40
2006 ,"'C85 Coventry University' ","'17 and under' ",145
2006 ,"'C85 Coventry University' ","'18' ",10890
2006 ,"'C85 Coventry University' ","'19' ",3530
2006 ,"'C85 Coventry University' ","'20' ",1395
2006 ,"'C85 Coventry University' ","'21 and over' ",3700
2006 ,"'C88 Craven College' ","'18' ",10
2006 ,"'C88 Craven College' ","'20' ",5
2006 ,"'C88 Craven College' ","'21 and over' ",10
2006 ,"'C92 University Centre, Croydon (Croydon College)' ","'18' ",200
2006 ,"'C92 University Centre, Croydon (Croydon College)' ","'19' ",200
2006 ,"'C92 University Centre, Croydon (Croydon College)' ","'20' ",100
2006 ,"'C92 University Centre, Croydon (Croydon College)' ","'21 and over' ",255
2006 ,"'C95 Cumbria Institute of the Arts' ","'17 and under' ",5
2006 ,"'C95 Cumbria Institute of the Arts' ","'18' ",850
2006 ,"'C95 Cumbria Institute of the Arts' ","'19' ",420
2006 ,"'C95 Cumbria Institute of the Arts' ","'20' ",155
