"Statistic:   Number of Applications"
"Variables:   Provider Name , Applicant Domicile (UK / EU / Not EU) , Cycle Year"
"Coverage:   Applications through the main scheme"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR4_003_03.pdf"
 
Cycle Year,Provider Name , Applicant Domicile (UK / EU / Not EU),Number of Applications,
2006 ,"'E81 Exeter College' ","'EU (excluding UK)' ",5
2006 ,"'E81 Exeter College' ","'Not EU' ",40
2006 ,"'E84 University of Exeter' ","'UK' ",17690
2006 ,"'E84 University of Exeter' ","'EU (excluding UK)' ",625
2006 ,"'E84 University of Exeter' ","'Not EU' ",1170
2006 ,"'F33 Falmouth University' ","'UK' ",2570
2006 ,"'F33 Falmouth University' ","'EU (excluding UK)' ",40
2006 ,"'F33 Falmouth University' ","'Not EU' ",100
2006 ,"'F50 Fareham College' ","'UK' ",15
2006 ,"'F66 University Centre Farnborough' ","'UK' ",395
2006 ,"'F66 University Centre Farnborough' ","'EU (excluding UK)' ",20
2006 ,"'F66 University Centre Farnborough' ","'Not EU' ",55
2006 ,"'G14 University of South Wales (formerly University of Glamorgan)' ","'UK' ",10325
2006 ,"'G14 University of South Wales (formerly University of Glamorgan)' ","'EU (excluding UK)' ",295
2006 ,"'G14 University of South Wales (formerly University of Glamorgan)' ","'Not EU' ",530
2006 ,"'G20 Glamorgan Centre for Art and Design Technology' ","'UK' ",205
2006 ,"'G20 Glamorgan Centre for Art and Design Technology' ","'EU (excluding UK)' ",5
2006 ,"'G20 Glamorgan Centre for Art and Design Technology' ","'Not EU' ",5
2006 ,"'G28 University of Glasgow' ","'UK' ",23820
2006 ,"'G28 University of Glasgow' ","'EU (excluding UK)' ",2260
2006 ,"'G28 University of Glasgow' ","'Not EU' ",1555
2006 ,"'G42 Glasgow Caledonian University' ","'UK' ",16035
2006 ,"'G42 Glasgow Caledonian University' ","'EU (excluding UK)' ",595
2006 ,"'G42 Glasgow Caledonian University' ","'Not EU' ",650
2006 ,"'G43 The Glasgow School of Art' ","'UK' ",2185
2006 ,"'G43 The Glasgow School of Art' ","'EU (excluding UK)' ",250
2006 ,"'G43 The Glasgow School of Art' ","'Not EU' ",130
2006 ,"'G45 Gloucestershire College' ","'UK' ",75
2006 ,"'G45 Gloucestershire College' ","'EU (excluding UK)' ",5
2006 ,"'G45 Gloucestershire College' ","'Not EU' ",5
2006 ,"'G50 The University of Gloucestershire' ","'UK' ",9160
2006 ,"'G50 The University of Gloucestershire' ","'EU (excluding UK)' ",255
2006 ,"'G50 The University of Gloucestershire' ","'Not EU' ",510
2006 ,"'G56 Goldsmiths, University of London' ","'UK' ",7790
2006 ,"'G56 Goldsmiths, University of London' ","'EU (excluding UK)' ",680
2006 ,"'G56 Goldsmiths, University of London' ","'Not EU' ",615
