"Statistic:   Number of Applicants"
"Variables:   Achieved A-Level point score , Ethnic Group (Summary Level) , Cycle Year"
"Coverage:   Applied before June deadline, UK domiciled (excluding Scotland) 18 year olds and hold at least 3 A levels"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR2_044_06.pdf"
 
Cycle Year,Achieved A-Level point score , Ethnic Group (Summary Level),Number of Applicants,
2012 ,"'15 points' ","'White' ",13105
2012 ,"'15 points' ","'Other' ",155
2012 ,"'15 points' ","'Unknown' ",100
2012 ,"'16 points' ","'Asian' ",1205
2012 ,"'16 points' ","'Black' ",160
2012 ,"'16 points' ","'Mixed' ",470
2012 ,"'16 points' ","'White' ",9655
2012 ,"'16 points' ","'Other' ",95
2012 ,"'16 points' ","'Unknown' ",85
2012 ,"'17 points' ","'Asian' ",670
2012 ,"'17 points' ","'Black' ",90
2012 ,"'17 points' ","'Mixed' ",270
2012 ,"'17 points' ","'White' ",5775
2012 ,"'17 points' ","'Other' ",65
2012 ,"'17 points' ","'Unknown' ",60
2012 ,"'18 points' ","'Asian' ",695
2012 ,"'18 points' ","'Black' ",45
2012 ,"'18 points' ","'Mixed' ",240
2012 ,"'18 points' ","'White' ",4485
2012 ,"'18 points' ","'Other' ",55
2012 ,"'18 points' ","'Unknown' ",70
2013 ,"'3 points' ","'Asian' ",45
2013 ,"'3 points' ","'Black' ",25
2013 ,"'3 points' ","'Mixed' ",10
2013 ,"'3 points' ","'White' ",190
2013 ,"'3 points' ","'Other' ",5
2013 ,"'4 points' ","'Asian' ",150
2013 ,"'4 points' ","'Black' ",75
2013 ,"'4 points' ","'Mixed' ",40
2013 ,"'4 points' ","'White' ",695
2013 ,"'4 points' ","'Other' ",15
2013 ,"'4 points' ","'Unknown' ",10
2013 ,"'5 points' ","'Asian' ",380
2013 ,"'5 points' ","'Black' ",215
2013 ,"'5 points' ","'Mixed' ",100
2013 ,"'5 points' ","'White' ",1930
2013 ,"'5 points' ","'Other' ",30
2013 ,"'5 points' ","'Unknown' ",10
2013 ,"'6 points' ","'Asian' ",655
2013 ,"'6 points' ","'Black' ",340
2013 ,"'6 points' ","'Mixed' ",165
2013 ,"'6 points' ","'White' ",3895
2013 ,"'6 points' ","'Other' ",55
2013 ,"'6 points' ","'Unknown' ",15
2013 ,"'7 points' ","'Asian' ",1010
2013 ,"'7 points' ","'Black' ",555
2013 ,"'7 points' ","'Mixed' ",285
2013 ,"'7 points' ","'White' ",6385
