"Statistic:   Number of Applicants"
"Variables:   Sex , Age Band , Applicant Domicile (High Level) , Cycle Year"
"Coverage:   UK domiciled"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR2_018_04.pdf"
 
Cycle Year,Sex , Age Band , Applicant Domicile (High Level),Number of Applicants,
2016 ,"'Men' ","'21 and over' ","'Northern Ireland' ",1670
2016 ,"'Men' ","'21 and over' ","'Scotland' ",7860
2016 ,"'Men' ","'21 and over' ","'Wales' ",2245
2016 ,"'Women' ","'17 and under' ","'England' ",565
2016 ,"'Women' ","'17 and under' ","'Northern Ireland' ",30
2016 ,"'Women' ","'17 and under' ","'Scotland' ",545
2016 ,"'Women' ","'17 and under' ","'Wales' ",15
2016 ,"'Women' ","'18' ","'England' ",133040
2016 ,"'Women' ","'18' ","'Northern Ireland' ",6715
2016 ,"'Women' ","'18' ","'Scotland' ",11680
2016 ,"'Women' ","'18' ","'Wales' ",7120
2016 ,"'Women' ","'19' ","'England' ",50645
2016 ,"'Women' ","'19' ","'Northern Ireland' ",2020
2016 ,"'Women' ","'19' ","'Scotland' ",3690
2016 ,"'Women' ","'19' ","'Wales' ",2545
2016 ,"'Women' ","'20' ","'England' ",18050
2016 ,"'Women' ","'20' ","'Northern Ireland' ",780
2016 ,"'Women' ","'20' ","'Scotland' ",2400
2016 ,"'Women' ","'20' ","'Wales' ",970
2016 ,"'Women' ","'21 and over' ","'England' ",80185
2016 ,"'Women' ","'21 and over' ","'Northern Ireland' ",2530
2016 ,"'Women' ","'21 and over' ","'Scotland' ",13225
2016 ,"'Women' ","'21 and over' ","'Wales' ",4635
