"Statistic:   Number of Acceptances"
"Variables:   Provider Country 2016 , Applicant Domicile (High Level) , Age Band , Sex , Cycle Year"
"Coverage:   UK domiciled"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_009_01.pdf"
 
Cycle Year,Provider Country 2016 , Applicant Domicile (High Level) , Age Band , Sex,Number of Acceptances,
2007 ,"'Wales' ","'Wales' ","'20' ","'Women' ",385
2007 ,"'Wales' ","'Wales' ","'21 and over' ","'Men' ",1110
2007 ,"'Wales' ","'Wales' ","'21 and over' ","'Women' ",1925
2008 ,"'England' ","'England' ","'17 and under' ","'Men' ",510
2008 ,"'England' ","'England' ","'17 and under' ","'Women' ",685
2008 ,"'England' ","'England' ","'18' ","'Men' ",73040
2008 ,"'England' ","'England' ","'18' ","'Women' ",92435
2008 ,"'England' ","'England' ","'19' ","'Men' ",29920
2008 ,"'England' ","'England' ","'19' ","'Women' ",34570
2008 ,"'England' ","'England' ","'20' ","'Men' ",12140
2008 ,"'England' ","'England' ","'20' ","'Women' ",12755
2008 ,"'England' ","'England' ","'21 and over' ","'Men' ",28940
2008 ,"'England' ","'England' ","'21 and over' ","'Women' ",44345
2008 ,"'England' ","'Northern Ireland' ","'17 and under' ","'Men' ",5
2008 ,"'England' ","'Northern Ireland' ","'17 and under' ","'Women' ",5
2008 ,"'England' ","'Northern Ireland' ","'18' ","'Men' ",820
2008 ,"'England' ","'Northern Ireland' ","'18' ","'Women' ",1210
2008 ,"'England' ","'Northern Ireland' ","'19' ","'Men' ",240
2008 ,"'England' ","'Northern Ireland' ","'19' ","'Women' ",285
2008 ,"'England' ","'Northern Ireland' ","'20' ","'Men' ",135
2008 ,"'England' ","'Northern Ireland' ","'20' ","'Women' ",105
2008 ,"'England' ","'Northern Ireland' ","'21 and over' ","'Men' ",245
2008 ,"'England' ","'Northern Ireland' ","'21 and over' ","'Women' ",165
2008 ,"'England' ","'Scotland' ","'17 and under' ","'Men' ",10
2008 ,"'England' ","'Scotland' ","'17 and under' ","'Women' ",10
2008 ,"'England' ","'Scotland' ","'18' ","'Men' ",270
2008 ,"'England' ","'Scotland' ","'18' ","'Women' ",340
2008 ,"'England' ","'Scotland' ","'19' ","'Men' ",160
2008 ,"'England' ","'Scotland' ","'19' ","'Women' ",205
2008 ,"'England' ","'Scotland' ","'20' ","'Men' ",75
2008 ,"'England' ","'Scotland' ","'20' ","'Women' ",135
2008 ,"'England' ","'Scotland' ","'21 and over' ","'Men' ",250
2008 ,"'England' ","'Scotland' ","'21 and over' ","'Women' ",315
2008 ,"'England' ","'Wales' ","'17 and under' ","'Men' ",5
2008 ,"'England' ","'Wales' ","'17 and under' ","'Women' ",15
2008 ,"'England' ","'Wales' ","'18' ","'Men' ",1360
2008 ,"'England' ","'Wales' ","'18' ","'Women' ",1820
2008 ,"'England' ","'Wales' ","'19' ","'Men' ",460
2008 ,"'England' ","'Wales' ","'19' ","'Women' ",620
2008 ,"'England' ","'Wales' ","'20' ","'Men' ",175
2008 ,"'England' ","'Wales' ","'20' ","'Women' ",220
2008 ,"'England' ","'Wales' ","'21 and over' ","'Men' ",390
2008 ,"'England' ","'Wales' ","'21 and over' ","'Women' ",425
2008 ,"'Northern Ireland' ","'England' ","'18' ","'Men' ",65
2008 ,"'Northern Ireland' ","'England' ","'18' ","'Women' ",90
2008 ,"'Northern Ireland' ","'England' ","'19' ","'Men' ",20
2008 ,"'Northern Ireland' ","'England' ","'19' ","'Women' ",35
2008 ,"'Northern Ireland' ","'England' ","'20' ","'Men' ",5
2008 ,"'Northern Ireland' ","'England' ","'20' ","'Women' ",10
2008 ,"'Northern Ireland' ","'England' ","'21 and over' ","'Men' ",15
2008 ,"'Northern Ireland' ","'England' ","'21 and over' ","'Women' ",30
2008 ,"'Northern Ireland' ","'Northern Ireland' ","'17 and under' ","'Men' ",10
2008 ,"'Northern Ireland' ","'Northern Ireland' ","'17 and under' ","'Women' ",15
2008 ,"'Northern Ireland' ","'Northern Ireland' ","'18' ","'Men' ",2605
2008 ,"'Northern Ireland' ","'Northern Ireland' ","'18' ","'Women' ",3410
2008 ,"'Northern Ireland' ","'Northern Ireland' ","'19' ","'Men' ",475
2008 ,"'Northern Ireland' ","'Northern Ireland' ","'19' ","'Women' ",685
2008 ,"'Northern Ireland' ","'Northern Ireland' ","'20' ","'Men' ",240
2008 ,"'Northern Ireland' ","'Northern Ireland' ","'20' ","'Women' ",260
2008 ,"'Northern Ireland' ","'Northern Ireland' ","'21 and over' ","'Men' ",505
2008 ,"'Northern Ireland' ","'Northern Ireland' ","'21 and over' ","'Women' ",795
2008 ,"'Northern Ireland' ","'Scotland' ","'18' ","'Men' ",5
2008 ,"'Northern Ireland' ","'Scotland' ","'18' ","'Women' ",5
2008 ,"'Northern Ireland' ","'Scotland' ","'21 and over' ","'Men' ",5
2008 ,"'Northern Ireland' ","'Scotland' ","'21 and over' ","'Women' ",5
2008 ,"'Scotland' ","'England' ","'17 and under' ","'Men' ",20
2008 ,"'Scotland' ","'England' ","'17 and under' ","'Women' ",45
2008 ,"'Scotland' ","'England' ","'18' ","'Men' ",1230
2008 ,"'Scotland' ","'England' ","'18' ","'Women' ",1540
