"Statistic:   Number of Acceptances"
"Variables:   Provider Name , Applicant Domicile (High Level) , Entry Year"
"Coverage:   Accepted through the main scheme, UK domiciled and direct entry or deferred by one year"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR4_020_02.pdf"
 
Entry Year,Provider Name , Applicant Domicile (High Level),Number of Acceptances,
2007 ,"'K60 King's College London (University of London)' ","'England' ",2300
2007 ,"'K60 King's College London (University of London)' ","'Northern Ireland' ",20
2007 ,"'K60 King's College London (University of London)' ","'Scotland' ",20
2007 ,"'K60 King's College London (University of London)' ","'Wales' ",50
2007 ,"'K84 Kingston University' ","'England' ",3835
2007 ,"'K84 Kingston University' ","'Northern Ireland' ",10
2007 ,"'K84 Kingston University' ","'Scotland' ",15
2007 ,"'K84 Kingston University' ","'Wales' ",50
2007 ,"'L07 The University of Wales, Lampeter' ","'England' ",90
2007 ,"'L07 The University of Wales, Lampeter' ","'Northern Ireland' ",5
2007 ,"'L07 The University of Wales, Lampeter' ","'Wales' ",70
2007 ,"'L14 Lancaster University' ","'England' ",2050
2007 ,"'L14 Lancaster University' ","'Northern Ireland' ",15
2007 ,"'L14 Lancaster University' ","'Scotland' ",15
2007 ,"'L14 Lancaster University' ","'Wales' ",55
2007 ,"'L21 Leeds City College' ","'England' ",30
2007 ,"'L23 University of Leeds' ","'England' ",5735
2007 ,"'L23 University of Leeds' ","'Northern Ireland' ",30
2007 ,"'L23 University of Leeds' ","'Scotland' ",70
2007 ,"'L23 University of Leeds' ","'Wales' ",110
2007 ,"'L24 Leeds Trinity University' ","'England' ",600
2007 ,"'L27 Leeds Beckett University' ","'England' ",5335
2007 ,"'L27 Leeds Beckett University' ","'Northern Ireland' ",95
2007 ,"'L27 Leeds Beckett University' ","'Scotland' ",15
2007 ,"'L27 Leeds Beckett University' ","'Wales' ",50
2007 ,"'L28 Leeds College of Art' ","'England' ",400
2007 ,"'L28 Leeds College of Art' ","'Northern Ireland' ",5
2007 ,"'L28 Leeds College of Art' ","'Scotland' ",5
2007 ,"'L28 Leeds College of Art' ","'Wales' ",5
2007 ,"'L30 Leeds College of Music (UCAS)' ","'England' ",120
2007 ,"'L30 Leeds College of Music (UCAS)' ","'Northern Ireland' ",5
2007 ,"'L30 Leeds College of Music (UCAS)' ","'Scotland' ",5
2007 ,"'L30 Leeds College of Music (UCAS)' ","'Wales' ",5
2007 ,"'L34 University of Leicester' ","'England' ",2075
2007 ,"'L34 University of Leicester' ","'Northern Ireland' ",5
2007 ,"'L34 University of Leicester' ","'Scotland' ",5
2007 ,"'L34 University of Leicester' ","'Wales' ",35
2007 ,"'L36 Leicester College' ","'England' ",45
2007 ,"'L39 University of Lincoln' ","'England' ",2640
2007 ,"'L39 University of Lincoln' ","'Northern Ireland' ",10
2007 ,"'L39 University of Lincoln' ","'Scotland' ",10
2007 ,"'L39 University of Lincoln' ","'Wales' ",15
2007 ,"'L41 The University of Liverpool' ","'England' ",3120
2007 ,"'L41 The University of Liverpool' ","'Northern Ireland' ",140
2007 ,"'L41 The University of Liverpool' ","'Scotland' ",20
2007 ,"'L41 The University of Liverpool' ","'Wales' ",175
2007 ,"'L43 The City of Liverpool College' ","'England' ",60
2007 ,"'L46 Liverpool Hope University' ","'England' ",1050
2007 ,"'L46 Liverpool Hope University' ","'Northern Ireland' ",170
2007 ,"'L46 Liverpool Hope University' ","'Scotland' ",5
2007 ,"'L46 Liverpool Hope University' ","'Wales' ",35
2007 ,"'L48 The Liverpool Institute for Performing Arts' ","'England' ",145
2007 ,"'L48 The Liverpool Institute for Performing Arts' ","'Northern Ireland' ",5
2007 ,"'L48 The Liverpool Institute for Performing Arts' ","'Scotland' ",10
2007 ,"'L48 The Liverpool Institute for Performing Arts' ","'Wales' ",5
2007 ,"'L51 Liverpool John Moores University (LJMU)' ","'England' ",3745
2007 ,"'L51 Liverpool John Moores University (LJMU)' ","'Northern Ireland' ",495
2007 ,"'L51 Liverpool John Moores University (LJMU)' ","'Scotland' ",10
2007 ,"'L51 Liverpool John Moores University (LJMU)' ","'Wales' ",220
2007 ,"'L53 Coleg Llandrillo' ","'Wales' ",25
2007 ,"'L68 London Metropolitan University' ","'England' ",1965
2007 ,"'L68 London Metropolitan University' ","'Northern Ireland' ",15
2007 ,"'L68 London Metropolitan University' ","'Scotland' ",15
2007 ,"'L68 London Metropolitan University' ","'Wales' ",15
2007 ,"'L70 London School of Commerce' ","'England' ",10
2007 ,"'L72 London School of Economics and Political Science (University of London)' ","'England' ",690
2007 ,"'L72 London School of Economics and Political Science (University of London)' ","'Northern Ireland' ",15
2007 ,"'L72 London School of Economics and Political Science (University of London)' ","'Scotland' ",10
2007 ,"'L72 London School of Economics and Political Science (University of London)' ","'Wales' ",15
2007 ,"'L75 London South Bank University' ","'England' ",1400
2007 ,"'L75 London South Bank University' ","'Wales' ",10
2007 ,"'L77 Loughborough College' ","'England' ",125
2007 ,"'L77 Loughborough College' ","'Northern Ireland' ",5
2007 ,"'L79 Loughborough University' ","'England' ",3080
2007 ,"'L79 Loughborough University' ","'Northern Ireland' ",10
2007 ,"'L79 Loughborough University' ","'Scotland' ",20
2007 ,"'L79 Loughborough University' ","'Wales' ",55
2007 ,"'M10 The Manchester College' ","'England' ",40
2007 ,"'M20 The University of Manchester' ","'England' ",5890
2007 ,"'M20 The University of Manchester' ","'Northern Ireland' ",145
