"Statistic:   Number of Acceptances"
"Variables:   Provider Name , Age Band , Cycle Year"
"Coverage:   UK domiciled"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR4_009_01.pdf"
 
Cycle Year,Provider Name , Age Band,Number of Acceptances,
2006 ,"'C65 City and Islington College' ","'20' ",5
2006 ,"'C65 City and Islington College' ","'21 and over' ",25
2006 ,"'C66 The Manchester College (Formerly City College Manchester)' ","'18' ",70
2006 ,"'C66 The Manchester College (Formerly City College Manchester)' ","'19' ",50
2006 ,"'C66 The Manchester College (Formerly City College Manchester)' ","'20' ",55
2006 ,"'C66 The Manchester College (Formerly City College Manchester)' ","'21 and over' ",115
2006 ,"'C69 City of Sunderland College' ","'18' ",30
2006 ,"'C69 City of Sunderland College' ","'19' ",10
2006 ,"'C69 City of Sunderland College' ","'20' ",10
2006 ,"'C69 City of Sunderland College' ","'21 and over' ",30
2006 ,"'C71 Cleveland College of Art and Design' ","'18' ",60
2006 ,"'C71 Cleveland College of Art and Design' ","'19' ",55
2006 ,"'C71 Cleveland College of Art and Design' ","'20' ",20
2006 ,"'C71 Cleveland College of Art and Design' ","'21 and over' ",55
2006 ,"'C72 Cliff College' ","'18' ",10
2006 ,"'C72 Cliff College' ","'21 and over' ",5
2006 ,"'C75 University Centre Colchester at Colchester Institute' ","'18' ",90
2006 ,"'C75 University Centre Colchester at Colchester Institute' ","'19' ",50
2006 ,"'C75 University Centre Colchester at Colchester Institute' ","'20' ",20
2006 ,"'C75 University Centre Colchester at Colchester Institute' ","'21 and over' ",180
2006 ,"'C78 Cornwall College' ","'18' ",80
2006 ,"'C78 Cornwall College' ","'19' ",45
2006 ,"'C78 Cornwall College' ","'20' ",40
2006 ,"'C78 Cornwall College' ","'21 and over' ",160
2006 ,"'C80 Courtauld Institute of Art (University of London)' ","'18' ",30
2006 ,"'C80 Courtauld Institute of Art (University of London)' ","'19' ",10
2006 ,"'C80 Courtauld Institute of Art (University of London)' ","'21 and over' ",5
2006 ,"'C85 Coventry University' ","'17 and under' ",5
2006 ,"'C85 Coventry University' ","'18' ",1585
2006 ,"'C85 Coventry University' ","'19' ",595
2006 ,"'C85 Coventry University' ","'20' ",210
2006 ,"'C85 Coventry University' ","'21 and over' ",720
2006 ,"'C88 Craven College' ","'21 and over' ",5
2006 ,"'C92 University Centre, Croydon (Croydon College)' ","'18' ",10
2006 ,"'C92 University Centre, Croydon (Croydon College)' ","'19' ",20
2006 ,"'C92 University Centre, Croydon (Croydon College)' ","'20' ",10
2006 ,"'C92 University Centre, Croydon (Croydon College)' ","'21 and over' ",45
2006 ,"'C95 Cumbria Institute of the Arts' ","'18' ",115
2006 ,"'C95 Cumbria Institute of the Arts' ","'19' ",80
2006 ,"'C95 Cumbria Institute of the Arts' ","'20' ",45
