"Statistic:   Number of Acceptances"
"Variables:   Provider Name , Applicant Domicile (Region) , Cycle Year"
"Coverage:   Accepted through the main scheme and UK domiciled"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR4_005_02.pdf"
 
Cycle Year,Provider Name , Applicant Domicile (Region),Number of Acceptances,
2006 ,"'C25 Birmingham City University (formerly University of Central England in Birmingham)' ","'Northern Ireland' ",10
2006 ,"'C30 University of Central Lancashire (UCLan)' ","'North East' ",80
2006 ,"'C30 University of Central Lancashire (UCLan)' ","'Yorkshire and The Humber' ",235
2006 ,"'C30 University of Central Lancashire (UCLan)' ","'North West' ",2465
2006 ,"'C30 University of Central Lancashire (UCLan)' ","'East Midlands' ",100
2006 ,"'C30 University of Central Lancashire (UCLan)' ","'West Midlands' ",145
2006 ,"'C30 University of Central Lancashire (UCLan)' ","'East of England' ",90
2006 ,"'C30 University of Central Lancashire (UCLan)' ","'London' ",65
2006 ,"'C30 University of Central Lancashire (UCLan)' ","'South East' ",130
2006 ,"'C30 University of Central Lancashire (UCLan)' ","'South West' ",80
2006 ,"'C30 University of Central Lancashire (UCLan)' ","'Wales' ",60
2006 ,"'C30 University of Central Lancashire (UCLan)' ","'Scotland' ",25
2006 ,"'C30 University of Central Lancashire (UCLan)' ","'Northern Ireland' ",80
2006 ,"'C35 The Royal Central School of Speech and Drama, University of London' ","'North East' ",5
2006 ,"'C35 The Royal Central School of Speech and Drama, University of London' ","'Yorkshire and The Humber' ",5
2006 ,"'C35 The Royal Central School of Speech and Drama, University of London' ","'North West' ",10
2006 ,"'C35 The Royal Central School of Speech and Drama, University of London' ","'East Midlands' ",5
2006 ,"'C35 The Royal Central School of Speech and Drama, University of London' ","'West Midlands' ",5
2006 ,"'C35 The Royal Central School of Speech and Drama, University of London' ","'East of England' ",25
2006 ,"'C35 The Royal Central School of Speech and Drama, University of London' ","'London' ",50
2006 ,"'C35 The Royal Central School of Speech and Drama, University of London' ","'South East' ",35
2006 ,"'C35 The Royal Central School of Speech and Drama, University of London' ","'South West' ",15
2006 ,"'C35 The Royal Central School of Speech and Drama, University of London' ","'Wales' ",10
2006 ,"'C35 The Royal Central School of Speech and Drama, University of London' ","'Scotland' ",5
2006 ,"'C55 University of Chester' ","'North East' ",45
2006 ,"'C55 University of Chester' ","'Yorkshire and The Humber' ",160
2006 ,"'C55 University of Chester' ","'North West' ",920
2006 ,"'C55 University of Chester' ","'East Midlands' ",130
2006 ,"'C55 University of Chester' ","'West Midlands' ",300
2006 ,"'C55 University of Chester' ","'East of England' ",75
2006 ,"'C55 University of Chester' ","'London' ",45
2006 ,"'C55 University of Chester' ","'South East' ",110
2006 ,"'C55 University of Chester' ","'South West' ",75
2006 ,"'C55 University of Chester' ","'Wales' ",210
2006 ,"'C55 University of Chester' ","'Scotland' ",5
2006 ,"'C55 University of Chester' ","'Northern Ireland' ",35
2006 ,"'C55 University of Chester' ","'Unknown' ",5
2006 ,"'C56 Chesterfield College' ","'Yorkshire and The Humber' ",10
2006 ,"'C56 Chesterfield College' ","'East Midlands' ",40
2006 ,"'C57 Chichester College' ","'South East' ",35
2006 ,"'C58 University of Chichester' ","'Yorkshire and The Humber' ",5
2006 ,"'C58 University of Chichester' ","'North West' ",5
2006 ,"'C58 University of Chichester' ","'East Midlands' ",10
2006 ,"'C58 University of Chichester' ","'West Midlands' ",5
2006 ,"'C58 University of Chichester' ","'East of England' ",55
2006 ,"'C58 University of Chichester' ","'London' ",60
2006 ,"'C58 University of Chichester' ","'South East' ",690
2006 ,"'C58 University of Chichester' ","'South West' ",70
2006 ,"'C58 University of Chichester' ","'Wales' ",5
2006 ,"'C60 City, University of London' ","'North East' ",5
2006 ,"'C60 City, University of London' ","'Yorkshire and The Humber' ",20
2006 ,"'C60 City, University of London' ","'North West' ",15
2006 ,"'C60 City, University of London' ","'East Midlands' ",20
2006 ,"'C60 City, University of London' ","'West Midlands' ",10
2006 ,"'C60 City, University of London' ","'East of England' ",110
2006 ,"'C60 City, University of London' ","'London' ",900
2006 ,"'C60 City, University of London' ","'South East' ",125
2006 ,"'C60 City, University of London' ","'South West' ",20
2006 ,"'C60 City, University of London' ","'Wales' ",10
2006 ,"'C60 City, University of London' ","'Northern Ireland' ",5
2006 ,"'C62 City College, Birmingham' ","'West Midlands' ",5
2006 ,"'C65 City and Islington College' ","'London' ",10
2006 ,"'C65 City and Islington College' ","'South East' ",5
2006 ,"'C66 The Manchester College (Formerly City College Manchester)' ","'North East' ",5
2006 ,"'C66 The Manchester College (Formerly City College Manchester)' ","'Yorkshire and The Humber' ",15
2006 ,"'C66 The Manchester College (Formerly City College Manchester)' ","'North West' ",110
2006 ,"'C66 The Manchester College (Formerly City College Manchester)' ","'East Midlands' ",10
