"Statistic:   Number of Applicants"
"Variables:   Apply Centre Type , Age Band , Sex , Applicant Domicile (High Level) , Cycle Year"
"Coverage:   Applied before June deadline and UK domiciled 18/19 year olds"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR2_031_06.pdf"
 
Cycle Year,Apply Centre Type , Age Band , Sex , Applicant Domicile (High Level),Number of Applicants,
2009 ,"'Further education' ","'18' ","'Men' ","'Wales' ",895
2009 ,"'Further education' ","'18' ","'Women' ","'England' ",12905
2009 ,"'Further education' ","'18' ","'Women' ","'Northern Ireland' ",430
2009 ,"'Further education' ","'18' ","'Women' ","'Scotland' ",250
2009 ,"'Further education' ","'18' ","'Women' ","'Wales' ",1345
2009 ,"'Further education' ","'19' ","'Men' ","'England' ",8140
2009 ,"'Further education' ","'19' ","'Men' ","'Northern Ireland' ",310
2009 ,"'Further education' ","'19' ","'Men' ","'Scotland' ",560
2009 ,"'Further education' ","'19' ","'Men' ","'Wales' ",665
2009 ,"'Further education' ","'19' ","'Women' ","'England' ",10070
2009 ,"'Further education' ","'19' ","'Women' ","'Northern Ireland' ",415
2009 ,"'Further education' ","'19' ","'Women' ","'Scotland' ",915
2009 ,"'Further education' ","'19' ","'Women' ","'Wales' ",815
2009 ,"'Grammar' ","'18' ","'Men' ","'England' ",1815
2009 ,"'Grammar' ","'18' ","'Men' ","'Northern Ireland' ",3475
2009 ,"'Grammar' ","'18' ","'Women' ","'England' ",1920
2009 ,"'Grammar' ","'18' ","'Women' ","'Northern Ireland' ",4205
2009 ,"'Grammar' ","'19' ","'Men' ","'England' ",330
2009 ,"'Grammar' ","'19' ","'Men' ","'Northern Ireland' ",395
2009 ,"'Grammar' ","'19' ","'Women' ","'England' ",355
2009 ,"'Grammar' ","'19' ","'Women' ","'Northern Ireland' ",420
2009 ,"'Grammar' ","'19' ","'Women' ","'Scotland' ",5
2009 ,"'Independent' ","'18' ","'Men' ","'England' ",12970
2009 ,"'Independent' ","'18' ","'Men' ","'Northern Ireland' ",55
2009 ,"'Independent' ","'18' ","'Men' ","'Scotland' ",1030
2009 ,"'Independent' ","'18' ","'Men' ","'Wales' ",315
2009 ,"'Independent' ","'18' ","'Women' ","'England' ",12460
2009 ,"'Independent' ","'18' ","'Women' ","'Northern Ireland' ",75
2009 ,"'Independent' ","'18' ","'Women' ","'Scotland' ",1075
2009 ,"'Independent' ","'18' ","'Women' ","'Wales' ",305
2009 ,"'Independent' ","'19' ","'Men' ","'England' ",3925
2009 ,"'Independent' ","'19' ","'Men' ","'Northern Ireland' ",10
2009 ,"'Independent' ","'19' ","'Men' ","'Scotland' ",385
2009 ,"'Independent' ","'19' ","'Men' ","'Wales' ",60
2009 ,"'Independent' ","'19' ","'Women' ","'England' ",3340
2009 ,"'Independent' ","'19' ","'Women' ","'Northern Ireland' ",15
2009 ,"'Independent' ","'19' ","'Women' ","'Scotland' ",300
2009 ,"'Independent' ","'19' ","'Women' ","'Wales' ",85
2009 ,"'Sixth form college' ","'18' ","'Men' ","'England' ",19620
2009 ,"'Sixth form college' ","'18' ","'Men' ","'Northern Ireland' ",30
2009 ,"'Sixth form college' ","'18' ","'Men' ","'Scotland' ",5
2009 ,"'Sixth form college' ","'18' ","'Men' ","'Wales' ",210
2009 ,"'Sixth form college' ","'18' ","'Women' ","'England' ",27135
2009 ,"'Sixth form college' ","'18' ","'Women' ","'Northern Ireland' ",25
2009 ,"'Sixth form college' ","'18' ","'Women' ","'Wales' ",315
2009 ,"'Sixth form college' ","'19' ","'Men' ","'England' ",8350
2009 ,"'Sixth form college' ","'19' ","'Men' ","'Northern Ireland' ",25
2009 ,"'Sixth form college' ","'19' ","'Men' ","'Wales' ",190
2009 ,"'Sixth form college' ","'19' ","'Women' ","'England' ",9835
