"Statistic:   Number of Acceptances"
"Variables:   Provider Name , Ethnic Group (Summary Level) , Cycle Year"
"Coverage:   Accepted through the main scheme and UK domiciled"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR4_012_02.pdf"
 
Cycle Year,Provider Name , Ethnic Group (Summary Level),Number of Acceptances,
2006 ,"'C62 City College, Birmingham' ","'White' ",5
2006 ,"'C65 City and Islington College' ","'White' ",10
2006 ,"'C66 The Manchester College (Formerly City College Manchester)' ","'Asian' ",5
2006 ,"'C66 The Manchester College (Formerly City College Manchester)' ","'Black' ",5
2006 ,"'C66 The Manchester College (Formerly City College Manchester)' ","'Mixed' ",5
2006 ,"'C66 The Manchester College (Formerly City College Manchester)' ","'White' ",155
2006 ,"'C69 City of Sunderland College' ","'White' ",30
2006 ,"'C71 Cleveland College of Art and Design' ","'White' ",150
2006 ,"'C72 Cliff College' ","'White' ",15
2006 ,"'C75 University Centre Colchester at Colchester Institute' ","'Mixed' ",5
2006 ,"'C75 University Centre Colchester at Colchester Institute' ","'White' ",200
2006 ,"'C75 University Centre Colchester at Colchester Institute' ","'Unknown' ",5
2006 ,"'C78 Cornwall College' ","'Mixed' ",5
2006 ,"'C78 Cornwall College' ","'White' ",195
2006 ,"'C78 Cornwall College' ","'Unknown' ",5
2006 ,"'C80 Courtauld Institute of Art (University of London)' ","'White' ",45
2006 ,"'C85 Coventry University' ","'Asian' ",370
2006 ,"'C85 Coventry University' ","'Black' ",175
2006 ,"'C85 Coventry University' ","'Mixed' ",75
2006 ,"'C85 Coventry University' ","'White' ",1705
2006 ,"'C85 Coventry University' ","'Other' ",20
2006 ,"'C85 Coventry University' ","'Unknown' ",20
2006 ,"'C88 Craven College' ","'White' ",5
2006 ,"'C92 University Centre, Croydon (Croydon College)' ","'Asian' ",5
2006 ,"'C92 University Centre, Croydon (Croydon College)' ","'Black' ",10
2006 ,"'C92 University Centre, Croydon (Croydon College)' ","'Mixed' ",5
2006 ,"'C92 University Centre, Croydon (Croydon College)' ","'White' ",25
2006 ,"'C92 University Centre, Croydon (Croydon College)' ","'Other' ",5
2006 ,"'C95 Cumbria Institute of the Arts' ","'Asian' ",5
2006 ,"'C95 Cumbria Institute of the Arts' ","'Black' ",5
2006 ,"'C95 Cumbria Institute of the Arts' ","'White' ",275
2006 ,"'D13 Dartington College of Arts (now known as University College Falmouth inc Dartington College of Arts)' ","'Mixed' ",5
2006 ,"'D13 Dartington College of Arts (now known as University College Falmouth inc Dartington College of Arts)' ","'White' ",140
2006 ,"'D13 Dartington College of Arts (now known as University College Falmouth inc Dartington College of Arts)' ","'Unknown' ",5
2006 ,"'D22 Dearne Valley College' ","'White' ",25
2006 ,"'D26 De Montfort University' ","'Asian' ",1010
2006 ,"'D26 De Montfort University' ","'Black' ",220
2006 ,"'D26 De Montfort University' ","'Mixed' ",90
2006 ,"'D26 De Montfort University' ","'White' ",1955
2006 ,"'D26 De Montfort University' ","'Other' ",35
2006 ,"'D26 De Montfort University' ","'Unknown' ",30
2006 ,"'D39 University of Derby' ","'Asian' ",115
2006 ,"'D39 University of Derby' ","'Black' ",75
2006 ,"'D39 University of Derby' ","'Mixed' ",35
2006 ,"'D39 University of Derby' ","'White' ",1530
2006 ,"'D39 University of Derby' ","'Other' ",5
2006 ,"'D39 University of Derby' ","'Unknown' ",20
2006 ,"'D45 Kirklees College (Formerly Dewsbury College)' ","'Asian' ",10
2006 ,"'D45 Kirklees College (Formerly Dewsbury College)' ","'White' ",40
2006 ,"'D52 Doncaster College' ","'Asian' ",5
2006 ,"'D52 Doncaster College' ","'Black' ",5
2006 ,"'D52 Doncaster College' ","'Mixed' ",5
2006 ,"'D52 Doncaster College' ","'White' ",175
2006 ,"'D55 Duchy College' ","'White' ",80
2006 ,"'D58 Dudley College of Technology' ","'White' ",5
2006 ,"'D65 University of Dundee' ","'Asian' ",40
2006 ,"'D65 University of Dundee' ","'Mixed' ",20
2006 ,"'D65 University of Dundee' ","'White' ",1545
2006 ,"'D65 University of Dundee' ","'Other' ",10
2006 ,"'D65 University of Dundee' ","'Unknown' ",15
2006 ,"'D86 Durham University' ","'Asian' ",90
2006 ,"'D86 Durham University' ","'Black' ",25
2006 ,"'D86 Durham University' ","'Mixed' ",65
2006 ,"'D86 Durham University' ","'White' ",2830
2006 ,"'D86 Durham University' ","'Other' ",10
2006 ,"'D86 Durham University' ","'Unknown' ",45
2006 ,"'E14 University of East Anglia (UEA)' ","'Asian' ",70
2006 ,"'E14 University of East Anglia (UEA)' ","'Black' ",30
2006 ,"'E14 University of East Anglia (UEA)' ","'Mixed' ",45
2006 ,"'E14 University of East Anglia (UEA)' ","'White' ",1855
2006 ,"'E14 University of East Anglia (UEA)' ","'Other' ",10
2006 ,"'E14 University of East Anglia (UEA)' ","'Unknown' ",25
2006 ,"'E28 University of East London (UEL)' ","'Asian' ",310
2006 ,"'E28 University of East London (UEL)' ","'Black' ",500
2006 ,"'E28 University of East London (UEL)' ","'Mixed' ",95
2006 ,"'E28 University of East London (UEL)' ","'White' ",575
2006 ,"'E28 University of East London (UEL)' ","'Other' ",50
2006 ,"'E28 University of East London (UEL)' ","'Unknown' ",40
2006 ,"'E32 East Surrey College (incorporating Reigate School of Art, Design and Media)' ","'White' ",20
2006 ,"'E42 Edge Hill University' ","'Asian' ",20
2006 ,"'E42 Edge Hill University' ","'Black' ",5
2006 ,"'E42 Edge Hill University' ","'Mixed' ",15
2006 ,"'E42 Edge Hill University' ","'White' ",1315
2006 ,"'E42 Edge Hill University' ","'Unknown' ",5
2006 ,"'E56 The University of Edinburgh' ","'Asian' ",90
2006 ,"'E56 The University of Edinburgh' ","'Black' ",15
2006 ,"'E56 The University of Edinburgh' ","'Mixed' ",75
2006 ,"'E56 The University of Edinburgh' ","'White' ",3165
2006 ,"'E56 The University of Edinburgh' ","'Other' ",5
2006 ,"'E56 The University of Edinburgh' ","'Unknown' ",50
2006 ,"'E58 Edinburgh College of Art' ","'Asian' ",5
2006 ,"'E58 Edinburgh College of Art' ","'Black' ",5
2006 ,"'E58 Edinburgh College of Art' ","'Mixed' ",5
2006 ,"'E58 Edinburgh College of Art' ","'White' ",255
2006 ,"'E58 Edinburgh College of Art' ","'Unknown' ",5
2006 ,"'E70 The University of Essex' ","'Asian' ",85
2006 ,"'E70 The University of Essex' ","'Black' ",85
2006 ,"'E70 The University of Essex' ","'Mixed' ",55
2006 ,"'E70 The University of Essex' ","'White' ",970
2006 ,"'E70 The University of Essex' ","'Other' ",10
2006 ,"'E70 The University of Essex' ","'Unknown' ",20
2006 ,"'E77 European Business School, London' ","'White' ",5
2006 ,"'E80 European School of Osteopathy' ","'White' ",30
2006 ,"'E81 Exeter College' ","'White' ",40
2006 ,"'E84 University of Exeter' ","'Asian' ",20
2006 ,"'E84 University of Exeter' ","'Black' ",20
2006 ,"'E84 University of Exeter' ","'Mixed' ",60
2006 ,"'E84 University of Exeter' ","'White' ",2695
2006 ,"'E84 University of Exeter' ","'Other' ",5
2006 ,"'E84 University of Exeter' ","'Unknown' ",40
2006 ,"'F33 Falmouth University' ","'Asian' ",5
2006 ,"'F33 Falmouth University' ","'Mixed' ",10
2006 ,"'F33 Falmouth University' ","'White' ",640
2006 ,"'F33 Falmouth University' ","'Unknown' ",5
2006 ,"'F66 University Centre Farnborough' ","'Asian' ",5
2006 ,"'F66 University Centre Farnborough' ","'Black' ",5
2006 ,"'F66 University Centre Farnborough' ","'Mixed' ",5
2006 ,"'F66 University Centre Farnborough' ","'White' ",90
2006 ,"'G14 University of South Wales (formerly University of Glamorgan)' ","'Asian' ",65
2006 ,"'G14 University of South Wales (formerly University of Glamorgan)' ","'Black' ",30
2006 ,"'G14 University of South Wales (formerly University of Glamorgan)' ","'Mixed' ",40
