"Statistic:   Number of Applicants"
"Variables:   Achieved A-Level point score , POLAR3 Quintile , Cycle Year"
"Coverage:   Applied before June deadline, UK domiciled (excluding Scotland) 18 year olds and hold at least 3 A levels"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR2_042_06.pdf"
 
Cycle Year,Achieved A-Level point score , POLAR3 Quintile,Number of Applicants,
2013 ,"'16 points' ","'POLAR3 Quintile 1' ",570
2013 ,"'16 points' ","'POLAR3 Quintile 2' ",1060
2013 ,"'16 points' ","'POLAR3 Quintile 3' ",1755
2013 ,"'16 points' ","'POLAR3 Quintile 4' ",2765
2013 ,"'16 points' ","'POLAR3 Quintile 5' ",5260
2013 ,"'16 points' ","'Not assigned' ",15
2013 ,"'17 points' ","'POLAR3 Quintile 1' ",270
2013 ,"'17 points' ","'POLAR3 Quintile 2' ",605
2013 ,"'17 points' ","'POLAR3 Quintile 3' ",970
2013 ,"'17 points' ","'POLAR3 Quintile 4' ",1565
2013 ,"'17 points' ","'POLAR3 Quintile 5' ",3250
2013 ,"'17 points' ","'Not assigned' ",5
2013 ,"'18 points' ","'POLAR3 Quintile 1' ",165
2013 ,"'18 points' ","'POLAR3 Quintile 2' ",415
2013 ,"'18 points' ","'POLAR3 Quintile 3' ",755
2013 ,"'18 points' ","'POLAR3 Quintile 4' ",1230
2013 ,"'18 points' ","'POLAR3 Quintile 5' ",2715
2013 ,"'18 points' ","'Not assigned' ",10
2014 ,"'3 points' ","'POLAR3 Quintile 1' ",40
2014 ,"'3 points' ","'POLAR3 Quintile 2' ",40
2014 ,"'3 points' ","'POLAR3 Quintile 3' ",65
2014 ,"'3 points' ","'POLAR3 Quintile 4' ",65
2014 ,"'3 points' ","'POLAR3 Quintile 5' ",65
2014 ,"'4 points' ","'POLAR3 Quintile 1' ",160
2014 ,"'4 points' ","'POLAR3 Quintile 2' ",190
2014 ,"'4 points' ","'POLAR3 Quintile 3' ",220
2014 ,"'4 points' ","'POLAR3 Quintile 4' ",240
2014 ,"'4 points' ","'POLAR3 Quintile 5' ",285
2014 ,"'5 points' ","'POLAR3 Quintile 1' ",360
2014 ,"'5 points' ","'POLAR3 Quintile 2' ",470
2014 ,"'5 points' ","'POLAR3 Quintile 3' ",585
2014 ,"'5 points' ","'POLAR3 Quintile 4' ",600
2014 ,"'5 points' ","'POLAR3 Quintile 5' ",715
2014 ,"'5 points' ","'Not assigned' ",5
2014 ,"'6 points' ","'POLAR3 Quintile 1' ",695
2014 ,"'6 points' ","'POLAR3 Quintile 2' ",930
2014 ,"'6 points' ","'POLAR3 Quintile 3' ",1125
2014 ,"'6 points' ","'POLAR3 Quintile 4' ",1265
2014 ,"'6 points' ","'POLAR3 Quintile 5' ",1445
2014 ,"'6 points' ","'Not assigned' ",15
2014 ,"'7 points' ","'POLAR3 Quintile 1' ",1000
2014 ,"'7 points' ","'POLAR3 Quintile 2' ",1435
2014 ,"'7 points' ","'POLAR3 Quintile 3' ",1810
2014 ,"'7 points' ","'POLAR3 Quintile 4' ",2085
2014 ,"'7 points' ","'POLAR3 Quintile 5' ",2165
2014 ,"'7 points' ","'Not assigned' ",15
2014 ,"'8 points' ","'POLAR3 Quintile 1' ",1355
2014 ,"'8 points' ","'POLAR3 Quintile 2' ",1990
2014 ,"'8 points' ","'POLAR3 Quintile 3' ",2495
2014 ,"'8 points' ","'POLAR3 Quintile 4' ",2895
2014 ,"'8 points' ","'POLAR3 Quintile 5' ",3285
2014 ,"'8 points' ","'Not assigned' ",20
2014 ,"'9 points' ","'POLAR3 Quintile 1' ",1620
2014 ,"'9 points' ","'POLAR3 Quintile 2' ",2415
2014 ,"'9 points' ","'POLAR3 Quintile 3' ",3155
2014 ,"'9 points' ","'POLAR3 Quintile 4' ",3590
2014 ,"'9 points' ","'POLAR3 Quintile 5' ",4230
2014 ,"'9 points' ","'Not assigned' ",25
2014 ,"'10 points' ","'POLAR3 Quintile 1' ",1790
2014 ,"'10 points' ","'POLAR3 Quintile 2' ",2695
2014 ,"'10 points' ","'POLAR3 Quintile 3' ",3560
2014 ,"'10 points' ","'POLAR3 Quintile 4' ",4160
2014 ,"'10 points' ","'POLAR3 Quintile 5' ",5115
2014 ,"'10 points' ","'Not assigned' ",30
2014 ,"'11 points' ","'POLAR3 Quintile 1' ",1700
2014 ,"'11 points' ","'POLAR3 Quintile 2' ",2535
2014 ,"'11 points' ","'POLAR3 Quintile 3' ",3500
2014 ,"'11 points' ","'POLAR3 Quintile 4' ",4400
2014 ,"'11 points' ","'POLAR3 Quintile 5' ",5880
2014 ,"'11 points' ","'Not assigned' ",20
2014 ,"'12 points' ","'POLAR3 Quintile 1' ",1585
2014 ,"'12 points' ","'POLAR3 Quintile 2' ",2575
