"Statistic:   Number of Acceptances"
"Variables:   Provider Name , Applicant Domicile (High Level) , Cycle Year"
"Coverage:   Accepted through the main scheme and UK domiciled"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR4_004_02.pdf"
 
Cycle Year,Provider Name , Applicant Domicile (High Level),Number of Acceptances,
2006 ,"'H72 The University of Hull' ","'Northern Ireland' ",5
2006 ,"'H72 The University of Hull' ","'Scotland' ",10
2006 ,"'H72 The University of Hull' ","'Wales' ",20
2006 ,"'H73 Hull College' ","'England' ",245
2006 ,"'H73 Hull College' ","'Northern Ireland' ",5
2006 ,"'H73 Hull College' ","'Scotland' ",20
2006 ,"'H75 Hull York Medical School' ","'England' ",115
2006 ,"'H75 Hull York Medical School' ","'Scotland' ",5
2006 ,"'I50 Imperial College London' ","'England' ",1220
2006 ,"'I50 Imperial College London' ","'Northern Ireland' ",10
2006 ,"'I50 Imperial College London' ","'Scotland' ",15
2006 ,"'I50 Imperial College London' ","'Wales' ",45
2006 ,"'K12 Keele University' ","'England' ",1345
2006 ,"'K12 Keele University' ","'Northern Ireland' ",5
2006 ,"'K12 Keele University' ","'Scotland' ",5
2006 ,"'K12 Keele University' ","'Wales' ",45
2006 ,"'K24 The University of Kent' ","'England' ",2630
2006 ,"'K24 The University of Kent' ","'Northern Ireland' ",10
2006 ,"'K24 The University of Kent' ","'Scotland' ",10
2006 ,"'K24 The University of Kent' ","'Wales' ",15
2006 ,"'K36 Kent Institute of Art and Design' ","'England' ",565
2006 ,"'K36 Kent Institute of Art and Design' ","'Northern Ireland' ",5
2006 ,"'K36 Kent Institute of Art and Design' ","'Wales' ",5
2006 ,"'K60 King's College London (University of London)' ","'England' ",2305
2006 ,"'K60 King's College London (University of London)' ","'Northern Ireland' ",20
2006 ,"'K60 King's College London (University of London)' ","'Scotland' ",15
2006 ,"'K60 King's College London (University of London)' ","'Wales' ",40
2006 ,"'K84 Kingston University' ","'England' ",3870
2006 ,"'K84 Kingston University' ","'Northern Ireland' ",10
2006 ,"'K84 Kingston University' ","'Scotland' ",15
2006 ,"'K84 Kingston University' ","'Wales' ",40
2006 ,"'L07 The University of Wales, Lampeter' ","'England' ",120
