"Statistic:   Number of Acceptances"
"Variables:   Provider Name , Applicant Domicile (Region) , Cycle Year"
"Coverage:   UK domiciled"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR4_005_01.pdf"
 
Cycle Year,Provider Name , Applicant Domicile (Region),Number of Acceptances,
2006 ,"'C30 University of Central Lancashire (UCLan)' ","'Scotland' ",35
2006 ,"'C30 University of Central Lancashire (UCLan)' ","'Northern Ireland' ",90
2006 ,"'C35 The Royal Central School of Speech and Drama, University of London' ","'North East' ",5
2006 ,"'C35 The Royal Central School of Speech and Drama, University of London' ","'Yorkshire and The Humber' ",5
2006 ,"'C35 The Royal Central School of Speech and Drama, University of London' ","'North West' ",15
2006 ,"'C35 The Royal Central School of Speech and Drama, University of London' ","'East Midlands' ",5
2006 ,"'C35 The Royal Central School of Speech and Drama, University of London' ","'West Midlands' ",5
2006 ,"'C35 The Royal Central School of Speech and Drama, University of London' ","'East of England' ",25
2006 ,"'C35 The Royal Central School of Speech and Drama, University of London' ","'London' ",50
2006 ,"'C35 The Royal Central School of Speech and Drama, University of London' ","'South East' ",35
2006 ,"'C35 The Royal Central School of Speech and Drama, University of London' ","'South West' ",15
2006 ,"'C35 The Royal Central School of Speech and Drama, University of London' ","'Wales' ",10
2006 ,"'C35 The Royal Central School of Speech and Drama, University of London' ","'Scotland' ",5
2006 ,"'C55 University of Chester' ","'North East' ",50
2006 ,"'C55 University of Chester' ","'Yorkshire and The Humber' ",165
2006 ,"'C55 University of Chester' ","'North West' ",1095
2006 ,"'C55 University of Chester' ","'East Midlands' ",135
2006 ,"'C55 University of Chester' ","'West Midlands' ",320
2006 ,"'C55 University of Chester' ","'East of England' ",80
2006 ,"'C55 University of Chester' ","'London' ",50
2006 ,"'C55 University of Chester' ","'South East' ",110
2006 ,"'C55 University of Chester' ","'South West' ",85
2006 ,"'C55 University of Chester' ","'Wales' ",260
2006 ,"'C55 University of Chester' ","'Scotland' ",10
2006 ,"'C55 University of Chester' ","'Northern Ireland' ",40
2006 ,"'C55 University of Chester' ","'Unknown' ",5
2006 ,"'C56 Chesterfield College' ","'Yorkshire and The Humber' ",10
2006 ,"'C56 Chesterfield College' ","'East Midlands' ",55
2006 ,"'C57 Chichester College' ","'South East' ",65
2006 ,"'C58 University of Chichester' ","'Yorkshire and The Humber' ",5
2006 ,"'C58 University of Chichester' ","'North West' ",5
