"Statistic:   Number of Acceptances"
"Variables:   Sex , Age Band , Applicant Domicile (High Level) , Cycle Year"
"Coverage:   UK domiciled"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR2_018_01.pdf"
 
Cycle Year,Sex , Age Band , Applicant Domicile (High Level),Number of Acceptances,
2012 ,"'Women' ","'21 and over' ","'Scotland' ",5175
2012 ,"'Women' ","'21 and over' ","'Wales' ",2530
2013 ,"'Men' ","'17 and under' ","'England' ",375
2013 ,"'Men' ","'17 and under' ","'Northern Ireland' ",15
2013 ,"'Men' ","'17 and under' ","'Scotland' ",190
2013 ,"'Men' ","'17 and under' ","'Wales' ",15
2013 ,"'Men' ","'18' ","'England' ",83250
2013 ,"'Men' ","'18' ","'Northern Ireland' ",3900
2013 ,"'Men' ","'18' ","'Scotland' ",6215
2013 ,"'Men' ","'18' ","'Wales' ",4230
2013 ,"'Men' ","'19' ","'England' ",37155
2013 ,"'Men' ","'19' ","'Northern Ireland' ",1020
2013 ,"'Men' ","'19' ","'Scotland' ",1815
2013 ,"'Men' ","'19' ","'Wales' ",1705
2013 ,"'Men' ","'20' ","'England' ",13020
2013 ,"'Men' ","'20' ","'Northern Ireland' ",605
2013 ,"'Men' ","'20' ","'Scotland' ",1280
2013 ,"'Men' ","'20' ","'Wales' ",680
2013 ,"'Men' ","'21 and over' ","'England' ",30575
2013 ,"'Men' ","'21 and over' ","'Northern Ireland' ",1105
2013 ,"'Men' ","'21 and over' ","'Scotland' ",4030
2013 ,"'Men' ","'21 and over' ","'Wales' ",1850
2013 ,"'Women' ","'17 and under' ","'England' ",400
2013 ,"'Women' ","'17 and under' ","'Northern Ireland' ",10
2013 ,"'Women' ","'17 and under' ","'Scotland' ",295
2013 ,"'Women' ","'17 and under' ","'Wales' ",25
2013 ,"'Women' ","'18' ","'England' ",103010
2013 ,"'Women' ","'18' ","'Northern Ireland' ",4855
2013 ,"'Women' ","'18' ","'Scotland' ",8290
2013 ,"'Women' ","'18' ","'Wales' ",5575
2013 ,"'Women' ","'19' ","'England' ",40530
2013 ,"'Women' ","'19' ","'Northern Ireland' ",1285
2013 ,"'Women' ","'19' ","'Scotland' ",2360
2013 ,"'Women' ","'19' ","'Wales' ",2075
2013 ,"'Women' ","'20' ","'England' ",13485
2013 ,"'Women' ","'20' ","'Northern Ireland' ",490
2013 ,"'Women' ","'20' ","'Scotland' ",1555
2013 ,"'Women' ","'20' ","'Wales' ",760
2013 ,"'Women' ","'21 and over' ","'England' ",46100
2013 ,"'Women' ","'21 and over' ","'Northern Ireland' ",1275
2013 ,"'Women' ","'21 and over' ","'Scotland' ",5465
2013 ,"'Women' ","'21 and over' ","'Wales' ",2745
2014 ,"'Men' ","'17 and under' ","'England' ",360
2014 ,"'Men' ","'17 and under' ","'Northern Ireland' ",10
2014 ,"'Men' ","'17 and under' ","'Scotland' ",140
2014 ,"'Men' ","'17 and under' ","'Wales' ",10
2014 ,"'Men' ","'18' ","'England' ",85705
2014 ,"'Men' ","'18' ","'Northern Ireland' ",3725
2014 ,"'Men' ","'18' ","'Scotland' ",5995
2014 ,"'Men' ","'18' ","'Wales' ",4405
2014 ,"'Men' ","'19' ","'England' ",37375
2014 ,"'Men' ","'19' ","'Northern Ireland' ",1110
2014 ,"'Men' ","'19' ","'Scotland' ",1695
2014 ,"'Men' ","'19' ","'Wales' ",1740
2014 ,"'Men' ","'20' ","'England' ",13730
2014 ,"'Men' ","'20' ","'Northern Ireland' ",600
2014 ,"'Men' ","'20' ","'Scotland' ",1200
2014 ,"'Men' ","'20' ","'Wales' ",680
2014 ,"'Men' ","'21 and over' ","'England' ",32415
2014 ,"'Men' ","'21 and over' ","'Northern Ireland' ",1145
2014 ,"'Men' ","'21 and over' ","'Scotland' ",3660
2014 ,"'Men' ","'21 and over' ","'Wales' ",1715
2014 ,"'Women' ","'17 and under' ","'England' ",445
2014 ,"'Women' ","'17 and under' ","'Northern Ireland' ",15
2014 ,"'Women' ","'17 and under' ","'Scotland' ",230
2014 ,"'Women' ","'17 and under' ","'Wales' ",15
2014 ,"'Women' ","'18' ","'England' ",105975
2014 ,"'Women' ","'18' ","'Northern Ireland' ",4725
2014 ,"'Women' ","'18' ","'Scotland' ",8285
2014 ,"'Women' ","'18' ","'Wales' ",5740
2014 ,"'Women' ","'19' ","'England' ",41730
2014 ,"'Women' ","'19' ","'Northern Ireland' ",1220
2014 ,"'Women' ","'19' ","'Scotland' ",2310
2014 ,"'Women' ","'19' ","'Wales' ",2155
2014 ,"'Women' ","'20' ","'England' ",14600
2014 ,"'Women' ","'20' ","'Northern Ireland' ",585
2014 ,"'Women' ","'20' ","'Scotland' ",1485
2014 ,"'Women' ","'20' ","'Wales' ",750
2014 ,"'Women' ","'21 and over' ","'England' ",50180
2014 ,"'Women' ","'21 and over' ","'Northern Ireland' ",1310
2014 ,"'Women' ","'21 and over' ","'Scotland' ",5315
2014 ,"'Women' ","'21 and over' ","'Wales' ",2960
2015 ,"'Men' ","'17 and under' ","'England' ",400
2015 ,"'Men' ","'17 and under' ","'Northern Ireland' ",10
2015 ,"'Men' ","'17 and under' ","'Scotland' ",215
2015 ,"'Men' ","'17 and under' ","'Wales' ",5
2015 ,"'Men' ","'18' ","'England' ",88670
2015 ,"'Men' ","'18' ","'Northern Ireland' ",3570
2015 ,"'Men' ","'18' ","'Scotland' ",6170
2015 ,"'Men' ","'18' ","'Wales' ",4475
2015 ,"'Men' ","'19' ","'England' ",38175
2015 ,"'Men' ","'19' ","'Northern Ireland' ",1060
2015 ,"'Men' ","'19' ","'Scotland' ",1865
2015 ,"'Men' ","'19' ","'Wales' ",1775
2015 ,"'Men' ","'20' ","'England' ",13395
2015 ,"'Men' ","'20' ","'Northern Ireland' ",540
2015 ,"'Men' ","'20' ","'Scotland' ",1300
2015 ,"'Men' ","'20' ","'Wales' ",680
2015 ,"'Men' ","'21 and over' ","'England' ",32340
2015 ,"'Men' ","'21 and over' ","'Northern Ireland' ",1060
2015 ,"'Men' ","'21 and over' ","'Scotland' ",4615
2015 ,"'Men' ","'21 and over' ","'Wales' ",1645
2015 ,"'Women' ","'17 and under' ","'England' ",430
2015 ,"'Women' ","'17 and under' ","'Northern Ireland' ",15
2015 ,"'Women' ","'17 and under' ","'Scotland' ",330
2015 ,"'Women' ","'17 and under' ","'Wales' ",15
2015 ,"'Women' ","'18' ","'England' ",113005
2015 ,"'Women' ","'18' ","'Northern Ireland' ",4745
2015 ,"'Women' ","'18' ","'Scotland' ",8565
2015 ,"'Women' ","'18' ","'Wales' ",6155
2015 ,"'Women' ","'19' ","'England' ",43095
2015 ,"'Women' ","'19' ","'Northern Ireland' ",1195
2015 ,"'Women' ","'19' ","'Scotland' ",2535
2015 ,"'Women' ","'19' ","'Wales' ",2055
2015 ,"'Women' ","'20' ","'England' ",14130
2015 ,"'Women' ","'20' ","'Northern Ireland' ",525
2015 ,"'Women' ","'20' ","'Scotland' ",1650
2015 ,"'Women' ","'20' ","'Wales' ",750
2015 ,"'Women' ","'21 and over' ","'England' ",50740
2015 ,"'Women' ","'21 and over' ","'Northern Ireland' ",1335
2015 ,"'Women' ","'21 and over' ","'Scotland' ",7525
2015 ,"'Women' ","'21 and over' ","'Wales' ",2955
2016 ,"'Men' ","'17 and under' ","'England' ",410
2016 ,"'Men' ","'17 and under' ","'Northern Ireland' ",10
2016 ,"'Men' ","'17 and under' ","'Scotland' ",250
2016 ,"'Men' ","'17 and under' ","'Wales' ",10
2016 ,"'Men' ","'18' ","'England' ",90165
2016 ,"'Men' ","'18' ","'Northern Ireland' ",3660
2016 ,"'Men' ","'18' ","'Scotland' ",6170
2016 ,"'Men' ","'18' ","'Wales' ",4465
2016 ,"'Men' ","'19' ","'England' ",37785
2016 ,"'Men' ","'19' ","'Northern Ireland' ",1220
2016 ,"'Men' ","'19' ","'Scotland' ",1970
2016 ,"'Men' ","'19' ","'Wales' ",1805
2016 ,"'Men' ","'20' ","'England' ",13055
2016 ,"'Men' ","'20' ","'Northern Ireland' ",605
2016 ,"'Men' ","'20' ","'Scotland' ",1315
2016 ,"'Men' ","'20' ","'Wales' ",635
2016 ,"'Men' ","'21 and over' ","'England' ",30620
2016 ,"'Men' ","'21 and over' ","'Northern Ireland' ",1050
2016 ,"'Men' ","'21 and over' ","'Scotland' ",4950
2016 ,"'Men' ","'21 and over' ","'Wales' ",1570
2016 ,"'Women' ","'17 and under' ","'England' ",405
2016 ,"'Women' ","'17 and under' ","'Northern Ireland' ",20
2016 ,"'Women' ","'17 and under' ","'Scotland' ",315
2016 ,"'Women' ","'17 and under' ","'Wales' ",15
2016 ,"'Women' ","'18' ","'England' ",114675
2016 ,"'Women' ","'18' ","'Northern Ireland' ",4860
2016 ,"'Women' ","'18' ","'Scotland' ",8705
2016 ,"'Women' ","'18' ","'Wales' ",6235
2016 ,"'Women' ","'19' ","'England' ",43215
2016 ,"'Women' ","'19' ","'Northern Ireland' ",1485
2016 ,"'Women' ","'19' ","'Scotland' ",2610
2016 ,"'Women' ","'19' ","'Wales' ",2160
2016 ,"'Women' ","'20' ","'England' ",13895
2016 ,"'Women' ","'20' ","'Northern Ireland' ",520
2016 ,"'Women' ","'20' ","'Scotland' ",1685
2016 ,"'Women' ","'20' ","'Wales' ",760
2016 ,"'Women' ","'21 and over' ","'England' ",50065
2016 ,"'Women' ","'21 and over' ","'Northern Ireland' ",1365
2016 ,"'Women' ","'21 and over' ","'Scotland' ",7700
2016 ,"'Women' ","'21 and over' ","'Wales' ",3060
