"Statistic:   Number of Acceptances"
"Variables:   Provider Name , Applicant Domicile (UK / EU / Not EU) , Entry Year"
"Coverage:   Direct entry or deferred by one year"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR4_019_01.pdf"
 
Entry Year,Provider Name , Applicant Domicile (UK / EU / Not EU),Number of Acceptances,
2007 ,"'C95 Cumbria Institute of the Arts' ","'EU (excluding UK)' ",20
2007 ,"'C95 Cumbria Institute of the Arts' ","'Not EU' ",5
2007 ,"'D13 Dartington College of Arts (now known as University College Falmouth inc Dartington College of Arts)' ","'UK' ",175
2007 ,"'D13 Dartington College of Arts (now known as University College Falmouth inc Dartington College of Arts)' ","'EU (excluding UK)' ",10
2007 ,"'D13 Dartington College of Arts (now known as University College Falmouth inc Dartington College of Arts)' ","'Not EU' ",5
2007 ,"'D22 Dearne Valley College' ","'UK' ",30
2007 ,"'D26 De Montfort University' ","'UK' ",3975
2007 ,"'D26 De Montfort University' ","'EU (excluding UK)' ",70
2007 ,"'D26 De Montfort University' ","'Not EU' ",155
2007 ,"'D39 University of Derby' ","'UK' ",2385
2007 ,"'D39 University of Derby' ","'EU (excluding UK)' ",50
2007 ,"'D39 University of Derby' ","'Not EU' ",55
2007 ,"'D45 Kirklees College (Formerly Dewsbury College)' ","'UK' ",105
2007 ,"'D45 Kirklees College (Formerly Dewsbury College)' ","'EU (excluding UK)' ",10
2007 ,"'D52 Doncaster College' ","'UK' ",245
2007 ,"'D52 Doncaster College' ","'Not EU' ",5
2007 ,"'D55 Duchy College' ","'UK' ",155
2007 ,"'D58 Dudley College of Technology' ","'UK' ",10
2007 ,"'D65 University of Dundee' ","'UK' ",1920
2007 ,"'D65 University of Dundee' ","'EU (excluding UK)' ",155
2007 ,"'D65 University of Dundee' ","'Not EU' ",55
2007 ,"'D86 Durham University' ","'UK' ",3265
2007 ,"'D86 Durham University' ","'EU (excluding UK)' ",80
2007 ,"'D86 Durham University' ","'Not EU' ",330
2007 ,"'E10 Ealing, Hammersmith and West London College' ","'UK' ",5
2007 ,"'E14 University of East Anglia (UEA)' ","'UK' ",2645
2007 ,"'E14 University of East Anglia (UEA)' ","'EU (excluding UK)' ",120
2007 ,"'E14 University of East Anglia (UEA)' ","'Not EU' ",300
2007 ,"'E28 University of East London (UEL)' ","'UK' ",3735
2007 ,"'E28 University of East London (UEL)' ","'EU (excluding UK)' ",235
2007 ,"'E28 University of East London (UEL)' ","'Not EU' ",270
2007 ,"'E32 East Surrey College (incorporating Reigate School of Art, Design and Media)' ","'UK' ",35
2007 ,"'E42 Edge Hill University' ","'UK' ",2465
2007 ,"'E42 Edge Hill University' ","'EU (excluding UK)' ",10
2007 ,"'E42 Edge Hill University' ","'Not EU' ",15
2007 ,"'E56 The University of Edinburgh' ","'UK' ",3660
2007 ,"'E56 The University of Edinburgh' ","'EU (excluding UK)' ",330
2007 ,"'E56 The University of Edinburgh' ","'Not EU' ",470
2007 ,"'E58 Edinburgh College of Art' ","'UK' ",295
2007 ,"'E58 Edinburgh College of Art' ","'EU (excluding UK)' ",35
2007 ,"'E58 Edinburgh College of Art' ","'Not EU' ",25
2007 ,"'E70 The University of Essex' ","'UK' ",1695
2007 ,"'E70 The University of Essex' ","'EU (excluding UK)' ",200
2007 ,"'E70 The University of Essex' ","'Not EU' ",415
2007 ,"'E77 European Business School, London' ","'UK' ",10
2007 ,"'E77 European Business School, London' ","'EU (excluding UK)' ",25
2007 ,"'E77 European Business School, London' ","'Not EU' ",15
2007 ,"'E81 Exeter College' ","'UK' ",80
2007 ,"'E84 University of Exeter' ","'UK' ",3235
2007 ,"'E84 University of Exeter' ","'EU (excluding UK)' ",105
2007 ,"'E84 University of Exeter' ","'Not EU' ",230
2007 ,"'F33 Falmouth University' ","'UK' ",800
2007 ,"'F33 Falmouth University' ","'EU (excluding UK)' ",30
2007 ,"'F33 Falmouth University' ","'Not EU' ",35
2007 ,"'F66 University Centre Farnborough' ","'UK' ",165
2007 ,"'F66 University Centre Farnborough' ","'EU (excluding UK)' ",5
2007 ,"'F66 University Centre Farnborough' ","'Not EU' ",10
2007 ,"'G14 University of South Wales (formerly University of Glamorgan)' ","'UK' ",3010
2007 ,"'G14 University of South Wales (formerly University of Glamorgan)' ","'EU (excluding UK)' ",110
2007 ,"'G14 University of South Wales (formerly University of Glamorgan)' ","'Not EU' ",65
2007 ,"'G20 Glamorgan Centre for Art and Design Technology' ","'UK' ",15
2007 ,"'G28 University of Glasgow' ","'UK' ",3850
2007 ,"'G28 University of Glasgow' ","'EU (excluding UK)' ",295
2007 ,"'G28 University of Glasgow' ","'Not EU' ",240
2007 ,"'G42 Glasgow Caledonian University' ","'UK' ",2715
2007 ,"'G42 Glasgow Caledonian University' ","'EU (excluding UK)' ",30
2007 ,"'G42 Glasgow Caledonian University' ","'Not EU' ",100
2007 ,"'G43 The Glasgow School of Art' ","'UK' ",285
2007 ,"'G43 The Glasgow School of Art' ","'EU (excluding UK)' ",40
2007 ,"'G43 The Glasgow School of Art' ","'Not EU' ",35
2007 ,"'G45 Gloucestershire College' ","'UK' ",50
2007 ,"'G50 The University of Gloucestershire' ","'UK' ",2045
2007 ,"'G50 The University of Gloucestershire' ","'EU (excluding UK)' ",35
2007 ,"'G50 The University of Gloucestershire' ","'Not EU' ",85
2007 ,"'G56 Goldsmiths, University of London' ","'UK' ",1475
2007 ,"'G56 Goldsmiths, University of London' ","'EU (excluding UK)' ",120
2007 ,"'G56 Goldsmiths, University of London' ","'Not EU' ",130
2007 ,"'G70 University of Greenwich' ","'UK' ",2665
2007 ,"'G70 University of Greenwich' ","'EU (excluding UK)' ",175
2007 ,"'G70 University of Greenwich' ","'Not EU' ",220
2007 ,"'G74 GSM London (formerly Greenwich School of Management)' ","'UK' ",20
2007 ,"'G80 University Centre Grimsby' ","'UK' ",285
2007 ,"'G90 Guildford College' ","'UK' ",95
