"Statistic:   Number of Acceptances"
"Variables:   Achieved A-Level point score , POLAR3 Quintile , Cycle Year"
"Coverage:   Applied before June deadline, UK domiciled (excluding Scotland) 18 year olds and hold at least 3 A levels"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR2_042_05.pdf"
 
Cycle Year,Achieved A-Level point score , POLAR3 Quintile,Number of Acceptances,
2012 ,"'13 points' ","'POLAR3 Quintile 2' ",2055
2012 ,"'13 points' ","'POLAR3 Quintile 3' ",2825
2012 ,"'13 points' ","'POLAR3 Quintile 4' ",4155
2012 ,"'13 points' ","'POLAR3 Quintile 5' ",6000
2012 ,"'13 points' ","'Not assigned' ",20
2012 ,"'14 points' ","'POLAR3 Quintile 1' ",960
2012 ,"'14 points' ","'POLAR3 Quintile 2' ",1685
2012 ,"'14 points' ","'POLAR3 Quintile 3' ",2520
2012 ,"'14 points' ","'POLAR3 Quintile 4' ",3570
2012 ,"'14 points' ","'POLAR3 Quintile 5' ",5995
2012 ,"'14 points' ","'Not assigned' ",15
2012 ,"'15 points' ","'POLAR3 Quintile 1' ",820
2012 ,"'15 points' ","'POLAR3 Quintile 2' ",1455
2012 ,"'15 points' ","'POLAR3 Quintile 3' ",2275
2012 ,"'15 points' ","'POLAR3 Quintile 4' ",3550
2012 ,"'15 points' ","'POLAR3 Quintile 5' ",6200
2012 ,"'15 points' ","'Not assigned' ",25
2012 ,"'16 points' ","'POLAR3 Quintile 1' ",525
2012 ,"'16 points' ","'POLAR3 Quintile 2' ",995
2012 ,"'16 points' ","'POLAR3 Quintile 3' ",1545
2012 ,"'16 points' ","'POLAR3 Quintile 4' ",2720
2012 ,"'16 points' ","'POLAR3 Quintile 5' ",4835
2012 ,"'16 points' ","'Not assigned' ",20
2012 ,"'17 points' ","'POLAR3 Quintile 1' ",295
2012 ,"'17 points' ","'POLAR3 Quintile 2' ",555
2012 ,"'17 points' ","'POLAR3 Quintile 3' ",930
2012 ,"'17 points' ","'POLAR3 Quintile 4' ",1530
2012 ,"'17 points' ","'POLAR3 Quintile 5' ",2945
2012 ,"'17 points' ","'Not assigned' ",10
2012 ,"'18 points' ","'POLAR3 Quintile 1' ",185
2012 ,"'18 points' ","'POLAR3 Quintile 2' ",385
2012 ,"'18 points' ","'POLAR3 Quintile 3' ",670
2012 ,"'18 points' ","'POLAR3 Quintile 4' ",1225
2012 ,"'18 points' ","'POLAR3 Quintile 5' ",2675
